filepath,label
Audio\fake\file10125.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10137.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10144.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10146.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10151.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1016.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10162.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10179.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10211.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10226.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10229.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10230.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10233.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10240.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10261.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10266.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10276.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1028.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1029.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1031.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10319.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10321.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10323.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10331.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10345.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10349.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1035.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10351.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10353.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10355.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10363.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10368.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10370.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10375.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1038.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10397.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1040.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10404.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10411.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10413.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10421.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10427.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1043.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10431.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10432.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10434.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10439.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10440.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10441.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10450.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10458.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1046.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1047.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10471.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10476.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10480.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10488.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10491.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10500.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10502.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10509.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10511.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10514.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10520.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1053.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10532.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10535.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1054.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10541.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10548.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1055.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10554.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10558.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10564.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10568.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10571.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10574.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10591.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10599.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10601.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10604.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1061.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10610.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10619.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10646.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10661.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10673.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10686.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10688.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10695.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10699.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file107.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10701.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10706.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10707.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1072.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10722.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10732.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10734.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10740.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10743.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10747.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10754.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1076.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10761.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10772.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10775.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10777.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10786.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10787.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10799.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file108.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10807.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10816.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10829.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10834.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10839.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10844.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10862.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10868.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10869.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1087.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10877.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1088.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10880.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10881.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10884.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10895.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10901.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10903.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10904.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10907.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10910.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10914.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10915.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10917.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1092.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10921.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10928.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10948.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10952.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10963.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10964.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10969.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10974.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10979.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10983.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10989.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10991.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10995.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10997.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file110.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11006.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11014.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11021.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11022.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11023.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11039.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11041.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11054.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11057.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11064.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11066.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11067.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11068.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1108.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11082.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11090.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11100.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11102.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11106.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11108.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11111.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11114.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11115.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11123.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11128.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11129.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11141.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11148.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11149.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1115.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11152.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11162.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11163.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1119.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11190.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11197.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11198.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1121.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11225.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11227.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11229.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11232.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11234.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11243.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11244.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11258.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11268.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11296.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11301.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11308.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11312.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11313.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11326.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11327.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11333.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11334.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11337.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1134.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11343.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11350.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11351.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11352.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11366.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11367.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11373.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11382.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11385.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11387.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11398.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11402.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11405.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11417.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11419.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11420.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11426.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1143.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11431.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11432.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11437.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11444.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11456.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1146.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11473.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11481.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11505.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11510.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11519.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11524.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11527.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11528.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11536.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11538.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11545.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11547.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11553.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11568.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11570.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11579.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11585.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1159.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11600.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11601.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11617.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11624.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11637.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1164.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11641.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11642.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11645.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11651.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11658.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11659.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11668.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11681.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11706.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1171.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11714.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11717.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11718.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11721.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11722.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11725.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1173.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11731.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11738.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1174.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11753.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11757.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11763.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11766.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11776.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1178.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11782.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11786.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11790.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11794.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11807.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1181.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file11824.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
